,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2004-08-19,49.982655,-0.9982,0.15,0.783,0.067,49.81329,51.835709,47.800831,44871361.0
2004-08-20,53.95277,-0.9884,0.103,0.83,0.068,50.316402,54.336334,50.062355,22942874.0
2004-08-23,54.495735,-0.9986,0.156,0.768,0.076,55.168217,56.528118,54.321388,18342897.0
2004-08-24,52.239197,-0.9951,0.101,0.856,0.044,55.4123,55.591629,51.591621,15319808.0
2004-08-25,52.802086,-0.9015,0.125,0.756,0.119,52.284027,53.798351,51.746044,9232276.0
2004-08-26,53.753517,-0.9995,0.178,0.757,0.065,52.279045,53.773445,52.134586,7128620.0
2004-08-27,52.876804,-0.962,0.132,0.748,0.121,53.848164,54.107193,52.647663,6241307.0
2004-08-30,50.814533,-0.9947,0.099,0.846,0.055,52.443428,52.548038,50.814533,5221498.0
2004-08-31,50.993862,-0.9507,0.118,0.769,0.113,50.958992,51.661362,50.889256,4941252.0
2004-09-01,49.93782,-0.9921,0.116,0.804,0.08,51.158245,51.292744,49.648903,9181687.0
2004-09-02,50.565468,-0.8064,0.098,0.812,0.09,49.409801,50.993862,49.285267,15190525.0
2004-09-03,49.818268,-0.9979,0.127,0.796,0.077,50.286514,50.680038,49.474556,5176932.0
2004-09-07,50.600338,-0.9956,0.113,0.817,0.069,50.316402,50.809551,49.619015,5875340.0
2004-09-08,50.958992,-0.9816,0.116,0.798,0.086,50.181908,51.322632,50.062355,5009306.0
2004-09-09,50.963974,-0.9903,0.121,0.795,0.084,51.073563,51.163227,50.31142,4081040.0
2004-09-10,52.468334,-0.9951,0.131,0.79,0.079,50.610298,53.081039,50.460861,8740238.0
2004-09-13,53.549286,-0.918,0.095,0.812,0.093,53.11591,54.002586,53.031227,7881431.0
2004-09-14,55.536835,-0.9965,0.118,0.812,0.07,53.524376,55.790882,53.19561,10880430.0
2004-09-15,55.790882,-0.9957,0.118,0.816,0.065,55.07357,56.901718,54.894241,10763995.0
2004-09-16,56.772205,-0.988,0.115,0.795,0.09,55.960247,57.683788,55.616535,9310367.0
2004-09-17,58.525631,-0.9353,0.122,0.76,0.117,56.996365,58.525631,56.562988,9517541.0
2004-09-20,59.457142,-0.9884,0.09,0.846,0.065,58.256641,60.57296,58.166977,10679279.0
2004-09-21,58.699978,-0.9668,0.084,0.853,0.063,59.681301,59.985161,58.535595,7263122.0
2004-09-22,58.968971,-0.9862,0.115,0.814,0.071,58.480801,59.611561,58.186901,7617245.0
2004-09-23,60.184414,-0.9986,0.162,0.77,0.069,59.198112,61.086037,58.291508,8576226.0
2004-09-24,59.691261,-0.996,0.113,0.823,0.064,60.24419,61.818291,59.656391,9166831.0
2004-09-27,58.909195,-0.9963,0.118,0.824,0.058,59.556767,60.214302,58.680054,7099712.0
2004-09-28,63.193138,0.9356,0.076,0.835,0.089,60.423519,63.462128,59.880554,17009518.0
2004-09-29,65.295258,-0.9897,0.099,0.833,0.068,63.113434,67.257904,62.879314,30661498.0
2004-09-30,64.558022,-0.9484,0.088,0.83,0.081,64.707458,65.902977,64.25914,13823420.0
2004-10-01,66.042458,-0.9895,0.125,0.796,0.078,65.155777,66.869354,64.209328,15196748.0
2004-10-04,67.277824,-0.9838,0.118,0.794,0.088,67.372475,68.179443,66.764748,13084661.0
2004-10-05,68.926643,-0.978,0.109,0.813,0.079,67.078575,69.006348,65.873093,15044379.0
2004-10-06,68.284058,-0.989,0.105,0.828,0.067,68.518173,68.966499,67.746071,13445007.0
2004-10-07,69.165749,-0.9968,0.118,0.858,0.024,68.204353,69.678825,68.020042,14182160.0
2004-10-08,68.607841,-0.9702,0.097,0.833,0.07,69.10099,69.579201,68.254166,11122133.0
2004-10-11,67.377457,-0.9971,0.137,0.815,0.048,68.244202,69.170731,66.675087,10521891.0
2004-10-12,68.443459,-0.9871,0.117,0.814,0.069,66.968987,68.548065,66.450928,11720969.0
2004-10-13,70.18692,-0.9756,0.108,0.809,0.083,71.392403,71.506973,69.77845,19860163.0
2004-10-14,70.734871,-0.9636,0.137,0.753,0.111,70.241714,70.924156,69.021294,10491779.0
2004-10-15,71.785927,-0.9867,0.11,0.832,0.059,72.194397,72.478333,70.709961,13257507.0
2004-10-18,74.301498,-0.7472,0.08,0.845,0.074,71.332626,74.321426,70.341347,14103064.0
2004-10-19,73.693779,-0.9231,0.118,0.774,0.108,74.969002,75.915451,73.399879,18195948.0
2004-10-20,69.982689,-0.923,0.107,0.803,0.09,73.738609,74.21682,69.539352,22830655.0
2004-10-21,74.411087,-0.9488,0.1,0.819,0.082,71.930389,74.784691,70.545578,29288370.0
2004-10-22,85.893051,-0.941,0.119,0.782,0.099,84.951584,89.748596,81.733643,74060360.0
2004-10-25,93.350098,-0.9948,0.135,0.821,0.044,87.870636,96.851974,85.952827,65774017.0
2004-10-26,90.560555,-0.9969,0.139,0.801,0.06,92.822083,95.96032,89.663918,44781425.0
2004-10-27,92.637772,-0.9953,0.139,0.808,0.053,91.018837,94.406143,90.545616,26813127.0
2004-10-28,96.289085,-0.9952,0.127,0.807,0.066,92.991447,96.832047,92.453461,29804899.0
2004-10-29,94.96405,-0.9838,0.09,0.847,0.062,99.073647,99.601669,94.944122,42483644.0
2004-11-01,97.648987,-0.8199,0.087,0.837,0.075,96.41362,98.465927,95.277878,24541444.0
2004-11-02,97.071152,-0.998,0.167,0.753,0.08,99.018852,99.252975,96.309013,22777657.0
2004-11-03,95.477127,-0.8301,0.125,0.758,0.117,98.719971,100.423592,95.018845,27881517.0
2004-11-04,92.005142,-0.9881,0.107,0.834,0.058,93.868156,94.844498,91.332664,28927221.0
2004-11-05,84.358803,0.3769,0.09,0.825,0.086,90.650223,90.809624,83.960297,39814879.0
2004-11-08,85.952827,-0.7184,0.101,0.796,0.103,85.145851,87.392433,84.383713,22467499.0
2004-11-09,84.035019,-0.7732,0.092,0.821,0.087,86.724937,87.272881,82.326424,22211343.0
2004-11-10,83.616585,0.9402,0.059,0.858,0.082,85.016335,85.937881,82.854439,21367793.0
2004-11-11,91.168282,-0.9964,0.164,0.745,0.091,84.249214,91.531914,83.472122,30083339.0
2004-11-12,90.660187,-0.9953,0.177,0.748,0.076,92.26915,94.545624,88.368774,33617737.0
2004-11-15,92.089828,-0.997,0.162,0.784,0.054,89.888077,93.80838,89.041252,23892219.0
2004-11-16,85.947845,-0.9921,0.134,0.8,0.066,88.418587,89.39991,85.096039,41991607.0
2004-11-17,85.927917,-0.9908,0.154,0.739,0.107,84.19442,88.418587,84.184456,36401733.0
2004-11-18,83.457184,-0.7142,0.114,0.777,0.109,84.827049,86.884338,82.555557,33383864.0
2004-11-19,84.383713,-0.8553,0.078,0.856,0.066,84.234268,84.672623,82.949089,17604339.0
2004-11-22,82.241737,-0.9008,0.083,0.844,0.073,81.927917,84.433525,80.353813,24829118.0
2004-11-23,83.44722,-0.9615,0.098,0.838,0.064,83.671379,85.096039,82.939125,24919656.0
2004-11-24,87.053703,-0.9841,0.109,0.821,0.07,87.083588,88.274124,85.932899,30676554.0
2004-11-26,89.360054,0.3595,0.079,0.839,0.082,87.571762,89.678864,87.332657,13008778.0
2004-11-29,90.186958,0.6182,0.101,0.79,0.109,89.843246,91.133408,88.423569,21413162.0
2004-11-30,90.650223,0.8423,0.084,0.819,0.097,90.017593,91.158318,89.788452,15457723.0
2004-12-01,89.64399,-0.7717,0.089,0.851,0.06,90.635277,90.909248,89.439758,15787153.0
2004-12-02,89.365036,0.4997,0.075,0.838,0.087,89.614105,90.4161,88.941628,12568735.0
2004-12-03,89.863174,-0.9806,0.107,0.832,0.061,89.639008,90.19194,88.468399,11782398.0
2004-12-06,87.815842,-0.8824,0.092,0.827,0.081,89.230545,90.012611,87.681351,12554883.0
2004-12-07,85.39492,-0.8848,0.077,0.861,0.061,87.671387,87.771011,84.956558,13793308.0
2004-12-08,84.672623,-0.9629,0.141,0.749,0.11,84.856934,86.515717,84.049957,15140137.0
2004-12-09,86.391182,-0.9656,0.117,0.812,0.071,84.807121,86.426056,83.920448,15365378.0
2004-12-10,85.504509,-0.4308,0.102,0.782,0.116,86.391182,87.11348,85.32518,8666764.0
2004-12-13,84.906746,-0.9308,0.121,0.777,0.103,85.763535,86.266647,84.408615,9673323.0
2004-12-14,89.011368,-0.9956,0.149,0.799,0.052,85.180725,89.076118,84.483337,22259924.0
2004-12-15,89.554329,-0.9908,0.144,0.755,0.101,88.662674,90.007629,88.000153,23027992.0
2004-12-16,87.90551,-0.9753,0.13,0.77,0.101,88.144615,89.908005,87.646477,17209866.0
2004-12-17,89.703766,-0.9974,0.159,0.77,0.072,88.049965,89.912987,87.945358,14827771.0
2004-12-20,92.164543,-0.9979,0.16,0.786,0.054,90.660187,93.87812,90.595428,19742724.0
2004-12-21,91.531914,-0.9922,0.153,0.75,0.097,92.807137,93.589203,91.357567,11073953.0
2004-12-22,92.802155,-0.9398,0.124,0.766,0.11,91.606636,93.076126,91.1633,7843289.0
2004-12-23,93.599167,-0.9878,0.113,0.818,0.069,93.375008,93.947861,92.652718,7256297.0
2004-12-27,95.59668,-0.9953,0.152,0.75,0.098,94.221832,96.289085,94.19693,12253959.0
2004-12-28,96.020096,-0.9902,0.164,0.71,0.126,95.696304,96.41362,95.148361,8322679.0
2004-12-29,96.089828,0.2783,0.091,0.826,0.083,95.531921,96.398674,95.531921,5376276.0
2004-12-30,98.431053,-0.9944,0.146,0.768,0.086,96.124702,98.744881,95.566795,11852862.0
2004-12-31,96.035034,-0.9832,0.13,0.78,0.09,99.243011,99.566795,95.920464,15394487.0
2005-01-03,100.976517,-0.9731,0.114,0.802,0.084,98.331429,101.439781,97.365051,31807176.0
2005-01-04,96.886841,-0.8284,0.064,0.878,0.059,100.323959,101.086105,96.378746,27614921.0
2005-01-05,96.393692,-0.9757,0.11,0.805,0.085,96.363808,98.082359,95.756081,16534946.0
2005-01-06,93.922951,0.9417,0.073,0.825,0.102,97.175758,97.584229,93.509506,20852067.0
2005-01-07,96.563057,-0.9721,0.093,0.83,0.077,94.96405,96.762314,94.037521,19398238.0
